total_rarity,rarity_rank,name,description,image,token ID,BACKGROUND,TENNISBALL,BODY,OUTLINE,RACKET,TATTOO,TSHIRT,WATCH,WRISTBAND,HAIRCUT,GLASSES,EARRINGS,PLAYER TYPE,MUTATION,BORDER,SIGNATURE,POSE,TECHNIQUE,MINDSET,POWER,TACTICS,CONDITIONING,LUCK,Tactics boost,Power boost,Conditioning boost,Technique boost,Mindset boost,MOMENT,animation_url
31989.19879397284,1.0,Ballman #5555,Stan the Ballman collection,https://arts.ballmanproject.io/matchball.png,5554,US OPEN FINAL REPLAY,none,none,none,none,none,none,none,none,none,none,none,Aggressive Baseliner,Zen master,none,none,DUEL,55,50,55,45,45,50,none,none,none,none,10.0,MATCH BALL,https://arts.ballmanproject.io/matchball.mp4
5263.292873360328,2.0,Ballman #770,Stan the Ballman collection,https://arts.ballmanproject.io/20.png,769,US OPEN SILVER,none,none,none,none,none,silver,none,none,none,none,none,Aggressive Baseliner,Zen master,metal,full silver,BLINK,55,50,55,45,45,50,none,none,none,none,10.0,quarter finals,none
5262.0838923586,3.0,Ballman #3052,Stan the Ballman collection,https://arts.ballmanproject.io/29.png,3051,US OPEN GOLD,none,none,none,none,none,gold,none,none,none,none,none,Aggressive Baseliner,Zen master,gold,full gold 24 carats,BLINK,55,50,55,45,45,50,none,none,none,none,10.0,quarter finals,none
5260.959540026994,4.0,Ballman #3412,Stan the Ballman collection,https://arts.ballmanproject.io/10.png,3411,US OPEN BRONZE,none,none,none,none,none,bronze,none,none,none,none,none,Aggressive Baseliner,Zen master,copper,full bronze,BLINK,55,50,55,45,45,50,none,none,none,none,10.0,quarter finals,none
5258.973820765412,5.5,Ballman #4107,Stan the Ballman collection,https://arts.ballmanproject.io/16.png,4106,US OPEN SILVER,none,none,none,none,none,silver,none,none,none,none,none,Aggressive Baseliner,Zen master,metal,full silver,VICTORY,55,50,55,45,45,50,none,none,none,none,10.0,championship finals,none
5258.973820765412,5.5,Ballman #2894,Stan the Ballman collection,https://arts.ballmanproject.io/18.png,2893,US OPEN SILVER,none,none,none,none,none,silver,none,none,none,none,none,Aggressive Baseliner,Zen master,metal,full silver,VICTORY,55,50,55,45,45,50,none,none,none,none,10.0,3rd round,none
5257.764839763685,7.5,Ballman #4789,Stan the Ballman collection,https://arts.ballmanproject.io/26.png,4788,US OPEN GOLD,none,none,none,none,none,gold,none,none,none,none,none,Aggressive Baseliner,Zen master,gold,full gold 24 carats,VICTORY,55,50,55,45,45,50,none,none,none,none,10.0,3rd round,none
5257.764839763685,7.5,Ballman #998,Stan the Ballman collection,https://arts.ballmanproject.io/24.png,997,US OPEN GOLD,none,none,none,none,none,gold,none,none,none,none,none,Aggressive Baseliner,Zen master,gold,full gold 24 carats,VICTORY,55,50,55,45,45,50,none,none,none,none,10.0,championship finals,none
5256.640487432079,9.5,Ballman #5270,Stan the Ballman collection,https://arts.ballmanproject.io/9.png,5269,US OPEN BRONZE,none,none,none,none,none,bronze,none,none,none,none,none,Aggressive Baseliner,Zen master,copper,full bronze,VICTORY,55,50,55,45,45,50,none,none,none,none,10.0,championship finals,none
5256.640487432079,9.5,Ballman #2658,Stan the Ballman collection,https://arts.ballmanproject.io/15.png,2657,US OPEN BRONZE,none,none,none,none,none,bronze,none,none,none,none,none,Aggressive Baseliner,Zen master,copper,full bronze,VICTORY,55,50,55,45,45,50,none,none,none,none,10.0,3rd round,none
5233.374975166567,11.0,Ballman #2083,Stan the Ballman collection,https://arts.ballmanproject.io/19.png,2082,US OPEN SILVER,none,none,none,none,none,silver,none,none,none,none,none,Aggressive Baseliner,Zen master,metal,full silver,BACKHANDS,55,50,55,45,45,50,none,none,none,none,10.0,semi finals,none
5233.226219075261,12.0,Ballman #626,Stan the Ballman collection,https://arts.ballmanproject.io/22.png,625,US OPEN SILVER,none,none,none,none,none,silver,none,none,none,none,none,Aggressive Baseliner,Zen master,metal,full silver,FINGER,55,50,55,45,45,50,none,none,none,none,10.0,4th round,none
5233.176703687157,13.0,Ballman #2451,Stan the Ballman collection,https://arts.ballmanproject.io/21.png,2450,US OPEN SILVER,none,none,none,none,none,silver,none,none,none,none,none,Aggressive Baseliner,Zen master,metal,full silver,FIST,55,50,55,45,45,50,none,none,none,none,10.0,2nd round,none
5233.12806158632,14.0,Ballman #3692,Stan the Ballman collection,https://arts.ballmanproject.io/17.png,3691,US OPEN SILVER,none,none,none,none,none,silver,none,none,none,none,none,Aggressive Baseliner,Zen master,metal,full silver,BACKHANDS VOLLEY,55,50,55,45,45,50,none,none,none,none,10.0,1st round,none
5232.1659941648395,15.0,Ballman #1090,Stan the Ballman collection,https://arts.ballmanproject.io/27.png,1089,US OPEN GOLD,none,none,none,none,none,gold,none,none,none,none,none,Aggressive Baseliner,Zen master,gold,full gold 24 carats,BACKHANDS,55,50,55,45,45,50,none,none,none,none,10.0,semi finals,none
5232.017238073534,16.0,Ballman #3985,Stan the Ballman collection,https://arts.ballmanproject.io/25.png,3984,US OPEN GOLD,none,none,none,none,none,gold,none,none,none,none,none,Aggressive Baseliner,Zen master,gold,full gold 24 carats,FINGER,55,50,55,45,45,50,none,none,none,none,10.0,4th round,none
5231.967722685429,17.0,Ballman #5199,Stan the Ballman collection,https://arts.ballmanproject.io/23.png,5198,US OPEN GOLD,none,none,none,none,none,gold,none,none,none,none,none,Aggressive Baseliner,Zen master,gold,full gold 24 carats,FIST,55,50,55,45,45,50,none,none,none,none,10.0,2nd round,none
5231.919080584592,18.0,Ballman #3636,Stan the Ballman collection,https://arts.ballmanproject.io/28.png,3635,US OPEN GOLD,none,none,none,none,none,gold,none,none,none,none,none,Aggressive Baseliner,Zen master,gold,full gold 24 carats,BACKHANDS VOLLEY,55,50,55,45,45,50,none,none,none,none,10.0,1st round,none
5231.041641833233,19.0,Ballman #5666,Stan the Ballman collection,https://arts.ballmanproject.io/13.png,5665,US OPEN BRONZE,none,none,none,none,none,bronze,none,none,none,none,none,Aggressive Baseliner,Zen master,copper,full bronze,BACKHANDS,55,50,55,45,45,50,none,none,none,none,10.0,semi finals,none
5230.892885741928,20.0,Ballman #4018,Stan the Ballman collection,https://arts.ballmanproject.io/14.png,4017,US OPEN BRONZE,none,none,none,none,none,bronze,none,none,none,none,none,Aggressive Baseliner,Zen master,copper,full bronze,FINGER,55,50,55,45,45,50,none,none,none,none,10.0,4th round,none
5230.843370353823,21.0,Ballman #1735,Stan the Ballman collection,https://arts.ballmanproject.io/11.png,1734,US OPEN BRONZE,none,none,none,none,none,bronze,none,none,none,none,none,Aggressive Baseliner,Zen master,copper,full bronze,FIST,55,50,55,45,45,50,none,none,none,none,10.0,2nd round,none
5230.794728252986,22.0,Ballman #4153,Stan the Ballman collection,https://arts.ballmanproject.io/12.png,4152,US OPEN BRONZE,none,none,none,none,none,bronze,none,none,none,none,none,Aggressive Baseliner,Zen master,copper,full bronze,BACKHANDS VOLLEY,55,50,55,45,45,50,none,none,none,none,10.0,1st round,none
3506.2244432463135,23.0,Ballman #1936,Stan the Ballman collection,https://arts.ballmanproject.io/8.png,1935,US OPEN,none,none,none,none,none,red,none,none,none,none,none,Aggressive Baseliner,Zen master,metalblue,full white,BLINK,55,50,55,45,45,50,none,none,none,none,10.0,quarter finals,none
3501.905390651399,24.5,Ballman #2161,Stan the Ballman collection,https://arts.ballmanproject.io/5.png,2160,US OPEN,none,none,none,none,none,red,none,none,none,none,none,Aggressive Baseliner,Zen master,metalblue,full white,VICTORY,55,50,55,45,45,50,none,none,none,none,10.0,championship finals,none
3501.905390651399,24.5,Ballman #4821,Stan the Ballman collection,https://arts.ballmanproject.io/7.png,4820,US OPEN,none,none,none,none,none,red,none,none,none,none,none,Aggressive Baseliner,Zen master,metalblue,full white,VICTORY,55,50,55,45,45,50,none,none,none,none,10.0,3rd round,none
3476.3065450525532,26.0,Ballman #709,Stan the Ballman collection,https://arts.ballmanproject.io/3.png,708,US OPEN,none,none,none,none,none,red,none,none,none,none,none,Aggressive Baseliner,Zen master,metalblue,full white,BACKHANDS,55,50,55,45,45,50,none,none,none,none,10.0,semi finals,none
3476.1577889612477,27.0,Ballman #3001,Stan the Ballman collection,https://arts.ballmanproject.io/6.png,3000,US OPEN,none,none,none,none,none,red,none,none,none,none,none,Aggressive Baseliner,Zen master,metalblue,full white,FINGER,55,50,55,45,45,50,none,none,none,none,10.0,4th round,none
3476.108273573143,28.0,Ballman #4722,Stan the Ballman collection,https://arts.ballmanproject.io/2.png,4721,US OPEN,none,none,none,none,none,red,none,none,none,none,none,Aggressive Baseliner,Zen master,metalblue,full white,FIST,55,50,55,45,45,50,none,none,none,none,10.0,2nd round,none
3476.059631472306,29.0,Ballman #243,Stan the Ballman collection,https://arts.ballmanproject.io/4.png,242,US OPEN,none,none,none,none,none,red,none,none,none,none,none,Aggressive Baseliner,Zen master,metalblue,full white,BACKHANDS VOLLEY,55,50,55,45,45,50,none,none,none,none,10.0,1st round,none
1813.6201225900238,30.0,Ballman #5294,Stan the Ballman collection,https://arts.ballmanproject.io/4788.png,5293,Victory Red 1,black,05,black,none,normal,white,yellow,white,gk_curlyhair_brown,black,none,All-court Player,none,earth,sw white,TROPHY,49,52,46,57,46,50,none,none,none,none,none,none,none
1796.3880401578283,31.0,Ballman #5885,Stan the Ballman collection,https://arts.ballmanproject.io/4768.png,5884,Holographic 1,black,01,white,none,none,yellow,blue,red,gk_curlyhair_brown,white,none,Serve-and-Volleyer,none,metalblue,full black,TROPHY,56,49,53,52,40,50,none,none,none,none,none,none,none
1786.2106670217288,32.0,Ballman #2536,Stan the Ballman collection,https://arts.ballmanproject.io/4773.png,2535,Red Stan 2,orange,04,white,none,none,white,blue,pink,gk_curlyhair_brown,black,earring,Serve-and-Volleyer,none,blue,none,TROPHY,56,49,53,52,40,50,none,none,none,none,none,none,none
1769.2486129213528,33.0,Ballman #5477,Stan the Ballman collection,https://arts.ballmanproject.io/4782.png,5476,Red Stan 1,yellow,03,white,none,none,white,yellow,green,gk_curlyhair_brown,none,none,Counterpuncher,none,white,sw gold,TROPHY,46,49,46,50,59,50,none,none,none,none,none,none,none
1505.4110065305513,34.0,Ballman #4124,Stan the Ballman collection,https://arts.ballmanproject.io/4923.png,4123,Deep Blue 1,purple,06,white,green,sleeve,black,yellow,blue,nd_trimmedcut_black,none,none,All-court Player,none,metal,sw gold,VICTORY,49,53,45,56,47,50,none,none,none,none,none,none,none
1479.6032075318365,35.0,Ballman #5535,Stan the Ballman collection,https://arts.ballmanproject.io/4915.png,5534,Blue Stan 3,purple,02,black,red,none,pink,yellow,red,nd_trimmedcut_black,white,none,Serve-and-Volleyer,none,black,sw gold,VICTORY,56,50,53,51,40,50,none,none,none,none,none,none,none
1467.9781421598655,36.0,Ballman #1994,Stan the Ballman collection,https://arts.ballmanproject.io/4818.png,1993,Red Stan 3,yellow,02,white,red,none,green,blue,black,nd_trimmedcut_black,none,none,Serve-and-Volleyer,none,grass,sw black,VICTORY,56,49,54,50,41,50,none,none,none,none,none,none,none
1462.9348094832235,37.0,Ballman #321,Stan the Ballman collection,https://arts.ballmanproject.io/4885.png,320,Victory Yellow 3,white,02,black,green,none,white,pink,white,nd_trimmedcut_black,none,none,Serve-and-Volleyer,none,earth,sw black,VICTORY,56,49,54,50,41,50,none,none,none,none,none,none,none
1458.8661818116345,38.0,Ballman #1187,Stan the Ballman collection,https://arts.ballmanproject.io/4896.png,1186,Blue Stan 3,red,05,black,red,none,yellow,pink,blue,nd_trimmedcut_black,none,none,All-court Player,none,earth,none,VICTORY,49,53,45,56,47,50,none,none,none,none,none,none,none
1151.0762512651918,39.0,Ballman #3341,Stan the Ballman collection,https://arts.ballmanproject.io/4763.png,3340,Radiant Green 2,pink,04,black,none,none,black,green,yellow,gk_curlyhair_blond,none,none,Counterpuncher,Killer mindset,metalred,sw black,TROPHY,46,49,46,50,59,50,none,none,none,none,5.0,none,none
1137.5336262788967,40.0,Ballman #1382,Stan the Ballman collection,https://arts.ballmanproject.io/4723.png,1381,Pink Gradient 3,black,01,black,none,none,red,pink,green,gk_curlyhair_blond,none,none,All-court Player,none,paillettes,none,TROPHY,49,52,46,57,46,50,none,none,none,none,none,none,none
1117.8376225066474,41.0,Ballman #3481,Stan the Ballman collection,https://arts.ballmanproject.io/4791.png,3480,Radiant Green 3,lgbtq,05,white,none,none,yellow,red,white,gk_curlyhair_blond,white,none,Pusher,none,orange,none,TROPHY,46,51,44,53,57,50,none,none,none,none,none,none,none
1114.3449574226468,42.0,Ballman #1939,Stan the Ballman collection,https://arts.ballmanproject.io/4801.png,1938,Victory Yellow 2,blue,03,white,none,none,green,red,blue,gk_curlyhair_blond,none,none,Serve-and-Volleyer,none,quick,sw black,TROPHY,56,50,53,51,40,50,none,none,none,none,none,none,none
1096.561261076455,43.0,Ballman #2123,Stan the Ballman collection,https://arts.ballmanproject.io/4787.png,2122,Radiant Purple 2,red,05,white,none,none,yellow,red,pink,gk_curlyhair_blond,black,none,Pusher,none,red,none,TROPHY,46,51,44,53,57,50,none,none,none,none,none,none,none
1091.5004038967202,44.0,Ballman #4558,Stan the Ballman collection,https://arts.ballmanproject.io/4720.png,4557,Radiant Green 1,pink,05,black,none,none,green,white,yellow,gk_curlyhair_blond,black,none,Serve-and-Volleyer,none,blue,none,TROPHY,56,49,53,52,40,50,none,none,none,none,none,none,none
1086.2306902835153,45.0,Ballman #2078,Stan the Ballman collection,https://arts.ballmanproject.io/4745.png,2077,Radiant Green 1,black,06,white,none,none,yellow,red,white,gk_curlyhair_blond,none,none,Pusher,none,orange,none,TROPHY,48,50,44,51,57,50,none,none,none,none,none,none,none
1026.609477425405,46.0,Ballman #5859,Stan the Ballman collection,https://arts.ballmanproject.io/1818.png,5858,Pink Gradient 1,gold,red,black,red,sleeve,green,red,black,jme_curlyheadband_brown,brown,none,Serve-and-Volleyer,Cardio+,orange,none,BLINK,56,49,53,52,40,50,none,none,5.0,none,none,none,none
912.2663306512737,47.0,Ballman #3918,Stan the Ballman collection,https://arts.ballmanproject.io/4778.png,3917,Radiant Yellow 2,blue,05,white,none,none,pink,pink,green,ds_sideslick_ginger,brown,none,Aggressive Baseliner,none,gold,none,TROPHY,55,50,55,45,45,50,none,none,none,none,none,none,none
901.7422535549845,48.0,Ballman #2131,Stan the Ballman collection,https://arts.ballmanproject.io/1899.png,2130,Red Stan 1,white,06,black,red,none,yellow,pink,black,jme_curlyheadband_brown,none,none,Counterpuncher,Sledge Hammer,blue,none,BLINK,47,50,46,50,57,50,none,8.0,none,none,none,none,none
863.962708837904,49.0,Ballman #5504,Stan the Ballman collection,https://arts.ballmanproject.io/1903.png,5503,Red Stan 3,blue,red,white,green,none,black,black,red,jme_curlyheadband_brown,white,none,All-court Player,none,red,none,BLINK,49,52,46,57,46,50,none,none,none,none,none,none,none
861.5288491764043,50.0,Ballman #1194,Stan the Ballman collection,https://arts.ballmanproject.io/4794.png,1193,Radiant Green 2,orange,05,black,none,none,blue,yellow,pink,ds_sideslick_ginger,none,none,Aggressive Baseliner,none,quick,sw white,TROPHY,55,50,55,45,45,50,none,none,none,none,none,none,none
