name,description,image,token ID,BACKGROUND,TENNISBALL,BODY,OUTLINE,RACKET,TATTOO,TSHIRT,WATCH,WRISTBAND,HAIRCUT,GLASSES,EARRINGS,PLAYER TYPE,MUTATION,BORDER,SIGNATURE,POSE,TECHNIQUE,MINDSET,POWER,TACTICS,CONDITIONING,LUCK,Tactics boost,Power boost,Conditioning boost,Technique boost,Mindset boost,MOMENT,animation_url
Ballman #1,Stan the Ballman collection,https://arts.ballmanproject.io/484.png,0,Radiant Purple 3,red,01,white,red,none,blue,pink,pink,am_afro_ginger,none,none,Counterpuncher,none,earth,full white,BACKHANDS,46,49,46,50,59,50,,,,,,,
Ballman #2,Stan the Ballman collection,https://arts.ballmanproject.io/4451.png,1,Radiant Yellow 2,purple,06,white,pink,none,black,black,white,db_dreadlocks_brown,black,,Serve-and-Volleyer,none,orange,full black,POINT,56,49,54,50,41,50,,,,,,,
Ballman #3,Stan the Ballman collection,https://arts.ballmanproject.io/4299.png,2,Victory Purple 2,orange,04,white,red,none,green,black,black,gv_headband_ginger,none,,Serve-and-Volleyer,Quick neuron,blue,none,POINT,56,49,53,52,40,50,5.0,,,,,,
Ballman #4,Stan the Ballman collection,https://arts.ballmanproject.io/3602.png,3,Purple Stan 3,orange,02,black,,none,white,,blue,bb_headband_blond,none,earring,Pusher,none,white,none,FIST,48,50,44,51,57,50,,,,,,,
Ballman #5,Stan the Ballman collection,https://arts.ballmanproject.io/1955.png,4,Radiant Yellow 2,white,06,white,,sleeve,black,green,black,mc_bowlcut_brown,,,Pusher,none,black,sw black,BROKEN,46,50,43,52,58,50,,,,,,,
Ballman #6,Stan the Ballman collection,https://arts.ballmanproject.io/255.png,5,Radiant Yellow 2,purple,red,white,green,normal,yellow,blue,white,am_afro_ginger,none,none,Aggressive Baseliner,none,blue,none,BACKHANDS,55,49,55,44,47,50,,,,,,,
Ballman #7,Stan the Ballman collection,https://arts.ballmanproject.io/4926.png,6,Red Stan 3,orange,06,white,red,none,pink,green,white,aa_afro_ginger,none,earring,Counterpuncher,Quick neuron,black,sw black,VICTORY,47,50,46,50,57,50,5.0,,,,,,
Ballman #8,Stan the Ballman collection,https://arts.ballmanproject.io/5951.png,7,Radiant Blue 2,red,Stan,white,,,green,,pink,,brown,,All-court Player,Quick neuron,gold,none,FIST,49,52,46,57,46,50,5.0,,,,,,
Ballman #9,Stan the Ballman collection,https://arts.ballmanproject.io/3700.png,8,Holographic 1,black,05,white,,none,green,,red,bb_mullet_ginger,none,none,Counterpuncher,Stan's punch,paillettes,none,FIST,47,50,46,50,57,50,,5.0,,,,,
Ballman #10,Stan the Ballman collection,https://arts.ballmanproject.io/1593.png,9,Blue Stan 2,white,06,black,green,sleeve,pink,pink,red,nk_fauxhawk_brown,white,none,All-court Player,Quick neuron,pink,full white,BACKHANDS VOLLEY,49,53,45,56,47,50,5.0,,,,,,
